wp_post_id,name,price,lessons_count
3005,Базовый курс «Маникюр с нуля»,000,6
3005,Экспресс курс маникюра,000,1
3005,Базовый курс «Идеальный педикюр»,00,3
3005,Курс «Профи мастер» (маникюр+педикюр),000,9
3005,Курс «Мастер универсал»,000,12
3005,Курс «Комбинированный маникюр»,000,1
3005,Базовый курс «Наращивание ногтей гелем»,000,3
3005,Курс повышения квалификации: Аппаратный маникюр,000,1
3005,Курс «Дизайн ногтей»,000,1
3007,Транзактный анализ,000,00
3007,Интегративная семейная психотерапия,000,00
3007,Психотерапия детей и подростков,000,00
3007,Работа со сновидениями,000,00
3007,"Первичное интервью, диагностика и планирование работы",000,00
3007,Основы арттерапии,000,00
3007,Психотерапевтическая группа,0000,00
3007,Консультирование и психотерапия. Cтартап,000,00
3011,Практическая Психология,000,00
3011,Психология Отношений,000,00
3011,Психология для родителей,0000,00
3011,Анима-Терапия,000,00
3011,Курс Тренеров,000,00
3013,Введение В Психоанализ,000,00
3013,Работа С Эмоциональной Травмой,000,00
3013,Типология Личности По К.Г. Юнгу,000,00
3013,Проективные Методики. Работа Со Снами,000,00
3013,Основы Аналитической Психологии,000,00
3013,Фундаментальные Инструменты Психолога,000,00
3013,Комплексная Программа Подготовки Психологов,000,00
3013,Краткосрочные Методы Терапии,000,00
3013,Введение В Психоанализ,000,00
3013,Летний интенсив EPS,000,00
3013,Основы психологического консультирования,000,00
3013,Секреты профессиональных психологов,000,00
3015,Категория A,000,90
3015,Категория В,000,90
3015,Категория С,000,90
3017,КАТЕГОРИЯ А1 (МОПЕДЫ),000,45
3017,КАТЕГОРИЯ A (МОТОЦИКЛ),000,45
3017,КАТЕГОРИЯ B (ЛЕГКОВЫЕ АВТОМОБИЛИ),000,75
3017,"КАТЕГОРИЯ C1 (ГРУЗОВЫЕ АВТОМОБИЛИ ОТ 3,5 ДО 7,5 Т)",000,90
3017,"КАТЕГОРИЯ C (ГРУЗОВЫЕ АВТОМОБИЛИ СВЫШЕ 7,5 Т)",000,90
3017,КАТЕГОРИЯ D (АВТОБУСЫ БОЛЕЕ 16 МЕСТ),000,75
3017,КАТЕГОРИЯ BЕ (ЛЕГКОВЫЕ АВТОМОБИЛИ С ПРИЦЕПОМ БОЛЕЕ 750 КГ),000,45
3017,"КАТЕГОРИЯ C1E (ГРУЗОВЫЕ АВТОМОБИЛИ ОТ 3,5 ДО 7,5 Т С ПРИЦЕПОМ)",000,45
3017,"КАТЕГОРИЯ CE (ГРУЗОВЫЕ АВТОМОБИЛИ БОЛЕЕ 7,5 Т С ПРИЦЕПОМ) ",000,45
3017,"ПЕРЕПОДГОТОВКА С ""В"" НА ""С"" ИЛИ ""С1""",000,00
3017,ПЕРЕПОДГОТОВКА ДЛЯ ВОДИТЕЛЕЙ ДЛЯ РАБОТЫ НА А / М С ГБО,000,30
3017,КУРСЫ ПОДГОТОВКИ ИНСТРУКТОРОВ,000,60
3017,КУРСЫ ПОВЫШЕНИЯ КВАЛИФИКАЦИИ ИНСТРУКТОРОВ,000,45
3017,ПЕРЕПОДГОТОВКА НА НИЗШУЮ КАТЕГОРИЮ,000,00
3019,Эконом,000,00
3019,Стандарт,000,00
3019,Бизнес,000,00
3021,Курс биоревитализации,000,00
3021,Курс инъекций ботокса (ботулотоксина),000,00
3021,Курс по контурной пластике губ,000,00
3021,Курс по контурной пластике лица,000,00
3021,Курсы мезотерапии,000,00
3021,Курсы косметолога,000,00
3021,Курс восковой депиляции,000,00
3021,Курс шугаринга,000,00
3021,Курс массажи лица,000,00
3021,Интраоральный (anti-age) массаж лица,000,00
3021,Хиромассаж (испанский массаж) лица,000,00
3021,Лимфодренажный массаж лица,000,00
3021,Лифтинговый массаж лица,000,00
3021,Структурный массаж лица,000,00
3021,Классический массаж лица,000,00
3021,Пластический массаж лица,000,00
3021,Курсы тайского массажа,000,00
3021,Курсы классического массажа,000,00
3021,Курсы антицеллюлитного массажа,000,00
3021,Курсы оздоровительного детского массажа,000,00
3021,Курсы стоун-массажа,000,00
3021,Антицеллюлитная программа,000,00
3021,Курсы маникюра и педикюра,000,00
3021,Курсы наращивания ногтей,000,00
3025,Базовый курс косметологии,000,00
3025,Курсы инъекционной косметологии,000,00
3025,Курс микроблейдинг бровей,000,00
3025,Курс перманентного макияжа,000,00
3025,Курс перманентного макияжа бровей,000,00
3025,Пробный курс по перманентному макияжу ,000,00
3025,Маникюр классический,000,00
3025,Маникюр обрезной и аппаратный,000,00
3025,Маникюр и педикюр обрезной и аппаратный,000,00
3025,Курс Brow - Master  ,000,00
3025,"Курс ""Сам себе бровист""",000,00
3025,Курс Brow Expert (повышение квалификации) ,000,00
3025,"Базовый курс ""Идеальная классика""",000,00
3025,"Курс ""Объемное наращивание 2D/3D""",000,00
3025,Объеденный курс  (классика + объем),000,00
3025,Экспресс курс  (классика + объем),000,00
3025,Курс ламинирования ресниц,000,00
3025,Онлайн курс наращивания ресниц (классика + объем),000,00
3025,Онлайн курс Brow Master,000,00
3025,Онлайн курс ламинирования ресниц,000,00
3025,Онлайн курс по работе с клиентами,000,00
3027,Мастер публичных выступлений,000,8
3027,Мастер публичных выступлений,000,8
3027,Онлайн курс ораторского искусства,000,6
3027,Индивидуальные занятия,000,8
3027,Мастер публичных выступлений,000,8
3029,ЭКСПРЕСС АКТЕРСКИЕ КУРСЫ В КИЕВЕ И ОДЕССЕ,000,00
3029,"Тренинги по продажам, переговорам и публичным выступлениям.",000,00
3029,Ораторское мастерство,000,00
3029,КИЕВ. ШКОЛА АКТЕРСКОГО МАСТЕРСТВА «REMARKA,0,0
3029,ОДЕССА. ОРАТОРСКОЕ МАСТЕРСТВО. ТЕХНИКА РЕЧИ. РИТОРИКА. ПУБЛИЧНЫЕ ВЫСТУПЛЕНИЯ. ,000,00
3029,“СЦЕНАРНОЕ МАСТЕРСТВО” практический курс,000,00
3029,ОДЕССА. АКТЁРСКАЯ МАСТЕРСКАЯ «REMARKA»,000,00
3029,Операторское мастерство и монтаж. 0 блок. Начало,000,00
3029,Операторское мастерство. Интенсивный практик-курс,000,00
3029,Курс Видеомонтажа. Психология кинокадра. Эстетика. Темпо-ритм,000,00
3029,"КИНОПОДГОТОВКА. КАСТИНГИ. ВИДЕО-ВИЗИТКИ, ПОРТФОЛИО",000,00
3029,ДЕТСКАЯ АКТЕРСКАЯ ШКОЛА. ОДЕССА 2020.,000,00
3029,КУРС ДЛЯ ПОДРОСТКОВ “КИНОРЕЖИССУРА + ОПЕРАТОРСКОЕ”,000,00
3029,ДЕТСКАЯ АКТЕРСКАЯ ШКОЛА. КИЕВ 2020-2021,000,00
3029,"КУРСЫ АКТЕРСКОГО ОНЛАЙН. ДЛЯ КИНО, ТЕАТРА, САМОРАЗВИТИЯ",000,00
3029,КУРС «АКТЕР ДУБЛЯЖА. ОЗВУЧАНИЕ. СОЗДАНИЕ АУДИОКНИГ И ВЕДЕНИЕ ПОДКАСТОВ»,000,00
3029,КУРС ГРАМОТНОЙ И КРАСИВОЙ РЕЧИ. Одесса,000,00
3029,КУРС КРАСИВОЙ И ГРАМОТНОЙ РЕЧИ. Киев,000,00
3029,КУРС ГРАМОТНОЙ И КРАСИВОЙ РЕЧИ. Онлайн,000,00
3029,АКТЕРСКОЕ В КИНО И НА СЦЕНЕ. КИЕВ 2020,000,00
3029,"ПУБЛИЧНЫЕ ВЫСТУПЛЕНИЯ. ЧТЕНИЕ НА ПУБЛИКУ: ПОЭЗИИ, МОНОЛОГА…",000,00
3029,ВЕДУЩИЙ МЕРОПРИЯТИЙ. ЦЕРЕМОНИЙМЕ́ЙСТЕР. ИНТЕНСИВ,000,00
3029,КУРСЫ РЕЖИССЕРА КИНО,000,00
3029,ВЕДУЩИЙ МЕРОПРИЯТИЙ” – Экспресс-курс+ АКТЕРСКОЕ МАСТЕРСТВО. КИЕВ,000,00
3029,ОДЕССА. “ВЕДУЩИЙ МЕРОПРИЯТИЙ”. Экспресс-курс,000,00
3029,“АКТЕРСКОЕ МАСТЕРСТВО” от Ольги Петровской. Годовой курс.,000,00
3029,ОРАТОРСКОЕ МАСТЕРСТВО. ОДЕССА. ЧАСТЬ II,000,00
3029,КИЕВ. “ОРАТОРСКОЕ МАСТЕРСТВО. ПРАКТИЧЕСКАЯ РИТОРИКА И ТЕХНИКА РЕЧИ”,000,00
3029,Актерская мастерская Сергея Деньги,000,00
3029,"Одесса. “АКТЕРСКОЕ. ТЕХНИКА РЕЧИ. РАСКРЕПОЩЕНИЕ” от Н.Бузько, А.Агопьяна, Т.Глущенко",000,00
3031,курс Жесткой риторики,000,00
3033,Базовый курс,000,3
3033,Основной курс,000,15
3033,Продвинутый курс,000,25
3033,Продвинутый +,000,32
3033,Мастер-классы,000,00
3037,Курсы маникюра + покрытие ногтей гель-лаком,000,00
3037,Курс мастер ногтевого сервиса + подарок курс «Дизайн ногтей»!,000,00
3037,Курс все виды маникюра+покрытие ногтей гель-лаком + подарок!,000,00
3037,"Курс все виды маникюра, педикюра + покрытие ногтей гель-лаком + подарок!",000,00
3037,Курс мастер ногтевого сервиса + подарок!,000,00
3037,Курсы маникюра и педикюра + покрытие ногтей гель-лаком + подарок!,000,00
3037,Курсы аппаратного маникюра + покрытие ногтей гель-лаком + подарок!,000,00
3037,"Курсы аппаратного маникюра, педикюра+покрытие ногтей гель-лаком + подарок!",000,00
3037,Курсы покрытия ногтей гель-лаком,000,00
3037,"Курс укрепления ногтей гелем, акрилом + покрытие гель-лаком",000,00
3037,Курс мастер ногтевого сервиса. Интенсив курс.+ подарок курс «Дизайн ногтей»!,000,00
3037,Экспресс курс аппаратного маникюра+покрытие ногтей гель-лаком,000,00
3037,"Экспресс курс аппаратного маникюра,педикюра+покрытие ногтей гель-лаком",000,00
3037,Курс дизайн на гель-лаке,000,00
3037,"Курсы дизайна (художественная роспись, гелевый и акриловый дизайн)",000,00
3037,Курс маникюр для себя + покрытие ногтей гель-лаком,000,00
3037,"Курс маникюра, педикюра для себя + покрытие ногтей гель-лаком",000,00
3037,Курс spa процедур (парафинотерапия холодная и горячая),000,00
3037,"Стажировка по маникюру, педикюру, наращиванию ногтей (на выбор)",000,00
3037,Курс косметолог-эстетист + подарок!,000,00
3037,Медицинский курс,000,00
3037,Курсы массажа лица,000,00
3037,Косметолог-эстетист. Выгодный старт.,000,00
3037,Курсы парикмахера + подарок курс «Мастер бровист»!,000,00
3037,Курс парикмахера выгодный старт + полировка волос в подарок!,000,00
3037,Курс женские стрижки,000,00
3037,Курс мужские стрижки,000,00
3037,Курс прически и укладки для себя,000,00
3037,Курсы причесок,000,00
3037,Курсы колористики,000,00
3037,Курс «Btx волос»,000,00
3037,Курс «Кератиновое выпрямление волос»,000,00
3037,Курс полировки волос,000,00
3037,Курс наращивания волос,000,00
3037,Курс «Визаж для себя»,000,00
3037,Курс профессиональный визажист,000,00
3042,Курс стрижки и укладки,000,00
3042,Курс колористика,000,00
3042,Кератиновое выпрямление и восстановление,000,00
3044,Курсы парикмахеров,000,00
3044,Курсы массажа,000,00
3044,Курсы визажа,000,00
3044,Курсы косметологов,000,00
3044,Курс аппаратной косметологии,000,00
3044,Курсы маникюра и педикюра,000,00
3044,Курсы наращивания ногтей,000,00
3044,Курсы депиляции воском,000,00
3044,Курсы наращивания ресниц,000,00
3044,Курсы татуажа,000,00
3044,Курсы администраторов салона,000,00
3046,Парикмахер-модельер,000,00
3046,Колористика Алхимия цвета,000,00
3046,Алхимия цвета базовый,000,00
3046,Колористика повышение квалификации,000,00
3046,Мастер-классы по колористике,000,00
3046,Дизайнер прически от А до Я,000,00
3046,Сам себе стилист,000,00
3046,Плетения,000,00
3050,JavaScript,000,00
3050,PHP,000,00
3050,Python,000,00
3050,HTML и CSS,000,00
3050,Java,000,00
3050,SQL,000,00
3050,Бесплатные курсы,000,00
3052,Junior. Младший 3D художник,000,30
3052,Middle. 3D художник среднего уровня,000,30
3052,Senior. Старший 3D Художник,000,30
3052,Mentor. Мастер 3D высшего класса,000,30
3084, Онлайн курс. Ты дизайнер №1,000,60
3084,Максимум дизайна за один месяц,000,30
3084,"Марафон ""Твори и Танцуй""",000,30
3084,Практическая  композиция,000,8
3084,Практическое  проектированиее,000,8
3084, Практика: заставь свой мозг работать,000,8
3084,"I Блок Онлайн курс ""Практическая теория""",000,60
3084,"II Блок Онлайн курс ""ArchiCAD в дизайне""",000,30
3084,"III Блок Онлайн курс ""Визуализация ArchiCAD""",000,30
3084,Дизайн ресторанов    и кафе,000,24
3084,Дизайн салона  красоты,000,15
3084,Скетчинг+эскизы+ графика,000,30
3084,Мега-курс для дизайнеров,000,195
3084,Дизайн своей квартиры самостоятельно,000,90
3084,"Интенсивный курс ""Дизайн интерьера""",000,90
3084,Визуализация в ArchiCAD,000,30
3084,2  Профессиональный ArchiCAD,000,30
3084,3D MAX ДЛЯ ДЕВУШЕК,000,60
3084,Флористический декор,000,60
3084,Свадебная флористика,000,30
3084,Мастер классы,000,1
3092,BACKUP: СПИКЕРЫ ЧТО ДЕЛАТЬ С БИЗНЕСОМ В КРИЗИС,000,000
